date,price,bid,ask,bidSize,askSize
2022-06-18 11:20:52.398249626,1008.0,1007.9,1008.0,81.552,0.6
2022-06-18 11:20:52.421959877,1008.0,1007.9,1008.0,83.552,0.6
2022-06-18 11:20:52.448360443,1008.0,1007.9,1008.0,89.426,1.171
2022-06-18 11:20:52.470643520,1008.0,1007.9,1008.0,89.426,12.088
2022-06-18 11:20:52.570944786,1008.0,1007.9,1008.0,77.054,1.171
2022-06-18 11:20:52.648452044,1008.0,1007.9,1008.0,50.138,1.408
2022-06-18 11:20:52.670850515,1008.0,1007.9,1008.0,46.144,19.56
2022-06-18 11:20:52.697891235,1008.0,1007.9,1008.0,39.941,19.56
2022-06-18 11:20:52.720900774,1008.0,1007.9,1008.0,50.395,29.081
2022-06-18 11:20:52.746755600,1008.0,1007.9,1008.0,39.941,19.966
2022-06-18 11:20:52.896145344,1008.0,1007.9,1008.0,43.935,19.966
2022-06-18 11:20:52.919885397,1008.0,1007.9,1008.0,47.929,19.966
2022-06-18 11:20:52.969971657,1008.0,1007.9,1008.0,43.935,19.966
2022-06-18 11:20:52.996619463,1008.0,1007.9,1008.0,49.989,19.966
2022-06-18 11:20:53.144832850,1008.0,1007.9,1008.0,49.989,20.466
2022-06-18 11:20:53.170582294,1008.0,1007.9,1008.0,49.989,20.229
2022-06-18 11:20:53.320326090,1008.0,1007.9,1008.0,49.989,20.468
2022-06-18 11:20:53.522780417,1008.0,1007.9,1008.0,49.989,19.897
2022-06-18 11:20:53.673249245,1008.0,1007.9,1008.0,49.989,10.86
2022-06-18 11:20:53.820784330,1008.0,1007.9,1008.0,49.989,11.265
2022-06-18 11:20:53.996303320,1008.0,1007.9,1008.0,35.235,11.265
2022-06-18 11:20:54.021934509,1008.0,1007.9,1008.0,6.18,11.265
2022-06-18 11:20:54.052128792,1008.0,1007.9,1008.0,6.18,22.38
2022-06-18 11:20:54.089951515,1008.0,1007.9,1008.0,0.126,42.876
2022-06-18 11:20:54.121594667,1008.0,1007.9,1008.0,0.126,56.186
2022-06-18 11:20:54.145532846,1008.0,1007.9,1008.0,5.737,56.186
2022-06-18 11:20:54.168802023,1008.0,1007.9,1008.0,1.743,56.186
2022-06-18 11:20:54.218788147,1008.0,1007.9,1008.0,1.743,43.337
2022-06-18 11:20:54.242645025,1008.0,1007.9,1008.0,1.743,43.537
2022-06-18 11:20:54.269954443,1008.0,1007.9,1008.0,1.743,43.637
2022-06-18 11:20:54.310630322,1008.0,1007.9,1008.0,3.743,43.537
2022-06-18 11:20:54.356124163,1008.0,1007.9,1008.0,1.743,42.622
2022-06-18 11:20:54.377717733,1008.0,1007.9,1008.0,1.743,42.383
2022-06-18 11:20:54.428402185,1008.0,1007.9,1008.0,3.743,42.383
2022-06-18 11:20:54.458039999,1008.0,1007.9,1008.0,5.389,43.499
2022-06-18 11:20:54.505719185,1008.0,1007.9,1008.0,5.903,43.299
2022-06-18 11:20:54.553074598,1008.0,1007.9,1008.0,5.903,38.138
2022-06-18 11:20:54.579100847,1008.0,1007.9,1008.0,5.903,28.452
2022-06-18 11:20:54.605339289,1008.0,1007.9,1008.0,17.363,28.452
2022-06-18 11:20:54.628452301,1008.0,1007.9,1008.0,26.478,28.452
2022-06-18 11:20:54.654476404,1008.0,1007.9,1008.0,17.363,28.452
2022-06-18 11:20:55.056115150,1008.0,1007.9,1008.0,17.363,14.237
2022-06-18 11:20:55.082830667,1008.0,1007.9,1008.0,32.274,14.237
2022-06-18 11:20:55.105629444,1008.0,1007.9,1008.0,62.042,4.716
2022-06-18 11:20:55.134169817,1008.0,1007.9,1008.1,62.042,8.16
2022-06-18 11:20:55.163031340,1008.0,1007.9,1008.1,62.791,8.16
